Navn,ἀνδρει-,ἀνδρεία,ἀνδρεῖος,δικαι-,δίκαιος,δικαιοσύνη,δικαιόω,σοφ-,σοφία,σοφός,σωφρ-,σωφροσύνη,σώφρων,σώφρονεω,φρον-,φρονέω,φρόνησις,φρόνιμος,φρόντις,εὐσεβ-,εὐσέβεια,εὐσεβέω,εὐσεβής,ὁσι-,ὅσιος,ὁσιότης,τὸ καλόν,ἐπιστ-,ἐπίσταμαι,ἐπιστήμη,ἐπιστήμων
Heraklit,0,0,0,"8,3","8,3",0,0,"30,6","8,3","22,2","5,6",0,0,"5,6","11,1","5,6","2,8","2,8",0,0,0,0,0,0,0,0,"5,6","8,3","8,33",0,0
Aeschylos,"0,6","0,6",0,"7,7","7,1",0,"0,6","3,3",0,"3,3","2,7",0,"1,5","1,2","5,9","3,9",0,"0,2","1,8",2,"0,4","0,4","1,3","0,8","0,8",0,"3,2",3,"2,72","0,24",0
Pindar,"1,9","1,9",0,"2,6","2,2",0,"0,3",19,"6,4","12,5","1,6",0,"1,6",0,"4,2","1,9",0,0,"2,2","1,3","0,3",0,1,"0,3","0,3",0,"16,4","1,3","1,29",0,0
Anaxagoras,0,0,0,"4,9","4,9",0,0,"9,7","4,9","4,9",0,0,0,0,"9,7",0,0,"9,7",0,0,0,0,0,0,0,0,0,0,0,0,0
Sophokles,"0,5","0,2","0,2","10,1",9,0,"1,1","5,7","0,4","5,4","2,2",0,"1,4","0,9","15,4","12,2","0,4","0,4","2,4","2,6","0,6",1,1,"0,6","0,6",0,"7,2","5,1","4,5","0,62",0
Empedokles,"1,6",0,"1,6","7,3","5,7","1,6",0,"7,3","2,4","4,9",0,0,0,0,"9,8","4,9","3,3",0,"1,6","0,8",0,0,"0,8","2,4","2,4",0,"11,4",0,0,0,0
Gorgias,0,0,0,"22,6","19,8",0,"2,8","26,9","15,5","11,3",0,0,"1,4",0,"45,2","38,2","1,4","5,7",0,"4,2","1,4","1,4","1,4","1,4","1,4",0,"5,7","5,7","1,41","2,83","1,41"
Herodot,"0,6","0,2","0,5","5,4","3,3","0,4","1,7","2,6","1,1","1,5","0,4",0,"0,2","0,2","2,1","1,7",0,"0,2","0,3","0,1",0,0,"0,1","0,9","0,9",0,"2,9","6,2","6,23",0,0
Ion,"89,7","89,7",0,0,0,0,0,"224,2","89,7","134,5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"134,5","89,7","89,69",0,0
Euripides,"0,9","0,2","0,1","15,5","14,9","0,1","0,5","14,9","0,9","14,1","7,2","0,3","4,7","2,2",11,"9,6","0,1","0,1","1,2",4,"0,6","1,4",2,"3,4","3,4",0,"13,1",3,"2,84","0,06","0,06"
Antiphon (Orat.),"0,5",0,"0,5","45,1","45,1",0,0,0,0,0,"1,4",0,"0,5","0,9","1,4","0,9",0,0,"0,5","6,4","3,2","1,4","1,8","10,6","10,6",0,"5,1","7,4","7,37",0,0
Antiphon (Soph.),2,2,0,"21,7","17,8",4,0,2,2,0,"11,9","5,9",4,2,"5,9",4,0,2,0,0,0,0,0,0,0,0,"13,8",0,0,0,0
Thucydid,"1,5","0,5",1,7,"6,7","0,1","0,3","0,1",0,"0,1","2,4","0,5","1,4","0,6","0,8","0,8",0,0,0,"0,1","0,1",0,0,"0,5","0,5",0,"3,1","3,1","2,09","0,91","0,13"
Demokrit,2,"0,7","1,3","6,7","6,1","0,7",0,"20,2","7,4","12,8","5,4","2,7","0,7",2,"16,9","9,4","5,4","0,7","1,3",0,0,0,0,"0,7","0,7",0,"11,5","2,7","2,02","0,67",0
Kritias,0,0,0,"8,1","8,1",0,0,"24,2",0,"24,2","2,7","2,7",0,0,"24,2","21,5",0,0,"2,7",0,0,0,0,0,0,0,"32,3",0,0,0,0
Aristophanes,"1,8","0,4","1,4","8,2","8,2",0,0,"9,3","1,2","8,1","2,8","0,4","1,6","0,9","4,1","2,6",0,"0,5",1,"0,2",0,0,"0,2","0,7","0,7",0,"7,7","1,1","1,06",0,0
Eupolis,"3,5",0,"3,5","27,9","24,4","3,5",0,"8,7",0,"8,7","3,5",0,0,"3,5","12,2","10,5",0,0,"1,7",0,0,0,0,0,0,0,"1,7","10,5","10,45",0,0
Lysias,"0,1",0,"0,1","24,5","23,7","0,6","0,1","0,3","0,1","0,1","2,1","0,1","1,6","0,3","1,3","1,3",0,0,0,1,"0,3","0,1","0,6","0,9","0,9",0,"3,9","6,3","6,11","0,15",0
Antisthenes,"6,1","2,4","3,6",17,"15,8","1,2",0,"25,5","3,6","21,9","2,4","1,2","1,2",0,"8,5","4,9","3,6",0,0,"1,2",0,0,"1,2",0,0,0,"8,5","14,6","12,15","2,43",0
Anon. Iambl,"10,5","5,2","5,2","26,2","26,2",0,0,"15,7","10,5","5,2",0,0,0,0,21,0,0,0,21,0,0,0,0,0,0,0,"5,2",0,0,0,0
Andocides,0,0,0,"19,9","19,9",0,0,0,0,0,"6,1","0,6","4,4","1,1","2,2","2,2",0,0,0,0,0,0,0,"2,2","2,2",0,"1,1","3,3","3,32",0,0
