Navn,ἀνδρει-,ἀνδρεία,ἀνδρεῖος,δικαι-,δίκαιος,δικαιοσύνη,δικαιόω,σοφ-,σοφία,σοφός,σωφρ-,σωφροσύνη,σώφρων,σώφρονεω,φρον-,φρονέω,φρόνησις,φρόνιμος,φρόντις,εὐσεβ-,εὐσέβεια,εὐσεβέω,εὐσεβής,ὁσι-,ὅσιος,ὁσιότης,τὸ καλόν,ἐπιστ-,ἐπίσταμαι,ἐπιστήμη,ἐπιστήμων
Sophokles,"0,09712015","0,37737063","0,2135946","0,64230732","0,54814092","0,00258378","0,01416808","0,24016167","0,04580542","0,03454346","0,25254255","0,00200649","0,82674861","0,94893492",0,0,"0,98445759","0,27553845","0,0000013","0,0020284","0,18022832","0,00458443","0,1934094","0,16063061","0,18810733","0,4559081","0,00000352","0,89751994","0,918159022","0,564881678","0,163047218"
Empedokles,"0,56372854","0,29698069","0,19261775","0,23097536","0,12659667","0,21545396","0,31023124","0,23495841","0,18071046","0,55083609","0,00743304","0,22162915","0,05788898","0,14841829","0,1328828","0,83968475","0,00161269","0,20048684","0,20775068","0,68149526","0,38063856","0,40408901","0,77055064","0,23121983","0,21470871","0,76800751","0,67644607","0,00045622","0,001003464","0,281420261","0,581042689"
Gorgias,"0,22376121","0,42840787","0,38043665","0,00760773","0,01671774","0,36533721","0,04096424","0,00000001",0,"0,00896718","0,04209834","0,35338252","0,96933744","0,27249872",0,0,"0,2813437","0,00164148","0,37027577","0,0708391","0,22971975","0,206324","0,4529978","0,81880806","0,79574918","0,822768","0,06140839","0,81469882","0,16084155","0,051819979","0,083343483"
Herodot,"0,06870688","0,03846225","0,68868437",0,0,"0,36504344",0,"0,0000044","0,82357304","0,00000004",0,"0,00000286","0,00000004","0,00010167",0,0,"0,00022443","0,00160992","0,05944773","0,00000005","0,00078577","0,00139613","0,00094478","0,51054998","0,60275017","0,25857929",0,"0,03218691","0,000888999","3,70E-005","0,034550871"
Ion,"0,00019916","0,00003335","0,87612353","0,49038605","0,51150036","0,87218141","0,89107612","0,00000008","0,0001808","0,00007747","0,7179173","0,86898994","0,79799324","0,84537154","0,60172879","0,65451757","0,89655322","0,86283749","0,87348134","0,81732237","0,90581666","0,91034968","0,87025677","0,82365889","0,82645028","0,96824542","0,00309489","0,00531205","0,004073332","0,884423943","0,940631686"
Euripides,"0,42866545","0,05776593","0,00391301","0,00000003",0,"0,00031653","0,58922813",0,"0,54244534",0,0,"0,13040462",0,"0,00000362",0,0,"0,04029394","0,00063421","0,00454854",0,"0,10784559","0,00000002","0,00000001",0,0,"0,27542874","0,69115591","0,00006062","0,00125851","0,001740471","0,386984135"
Antiphon (Orat.),"0,34318244","0,16620503","0,86342316",0,0,"0,11350763","0,17795622","0,0000055","0,03768005","0,0000531","0,13960736","0,1046976","0,15318178","0,91502646","0,00069379","0,00257683","0,20091629","0,0892374","0,82809678","0,0000011","0,00001142","0,03186162","0,0604305",0,0,"0,69535962","0,00033544","0,15122585","0,061292748","0,152743492","0,463800377"
Antiphon (Soph.),"0,56717744","0,23233291","0,45798506","0,03491442","0,09700288","0,03969818","0,5144118","0,30024012","0,54203959","0,05045163","0,00548099","0,00420816","0,2302804","0,46190999","0,95861022","0,85376519","0,53591041","0,35978451","0,44837213","0,27144374","0,57322667","0,59190584","0,43679028","0,28871377","0,29654126","0,84967713","0,82685267","0,02431225","0,034550525","0,488890376","0,722904478"
Thucydid,"0,12227983","0,94441018","0,02627411","0,00000855","0,00011229","0,00100148","0,56887228",0,"0,00000006",0,"0,24579871","0,43915432","0,75687839","0,25061",0,0,"0,00085249","0,00000935","0,00004413","0,00000016","0,03984749","0,00387292","0,00002792","0,01790738","0,02433787","0,30717246",0,"0,00064418","2,89E-006","0,036054534","0,948765645"
Demokrit,"0,30752754","0,69793091","0,26829217","0,11788296","0,13176983","0,88440635","0,26506551",0,"0,00000074","0,00001121","0,11833904","0,01786881","0,37272424","0,19353084","0,00001569","0,01385074","0,00000023","0,99422769","0,28842114","0,06012199","0,33559126","0,35947454","0,18375931","0,58542694","0,6120021","0,74595122","0,66386531","0,1676925","0,121090058","0,740313808","0,544436894"
Kritias,"0,37773609","0,56585044","0,5248238","0,61418688","0,74925387","0,51160722","0,57639922","0,00012612","0,38873711","0,00002036","0,93271863","0,23396773","0,29643098","0,42626097","0,00077013","0,00043371","0,59583612","0,48094659","0,216733","0,34603116","0,62933111","0,64599224","0,50521445","0,36331171","0,37108231","0,87099157","0,00518948","0,05363632","0,070136629","0,553178327","0,761263808"
Aristophanes,"0,03804522","0,6477965","0,00162788","0,01149626","0,12486308","0,00036736","0,00242722",0,"0,45554163",0,"0,85953357","0,24473954","0,74103688","0,90932275","0,00419854","0,00124714","0,00399051","0,56805733","0,11510755","0,00012226","0,00879699","0,01265959","0,0353102","0,17860473","0,21458449","0,37806047","0,00000069",0,"2,85E-010","0,001287606","0,099128515"
Eupolis,"0,15758223","0,47554073","0,04503611","0,00093163","0,00271081","0,05101108","0,48755338","0,22405032","0,28414835","0,10225008","0,81054064","0,4030756","0,19447084","0,10729924","0,10132127","0,07001283","0,50983442","0,38114336","0,34611818","0,24161391","0,54864952","0,56814056","0,40768009","0,25862223","0,26636179","0,84006977","0,00334224","0,10965272","0,065511369","0,461187444","0,705770856"
Lysias,"0,00478275","0,0156462","0,10407933",0,0,"0,95743568","0,21745487",0,"0,00641869",0,"0,18858","0,07038404","0,72437197","0,07627627",0,"0,00000811","0,02556306","0,00300842","0,0062455","0,71710743","0,94295848","0,47697657","0,99559322","0,58513327","0,64390033","0,49420091",0,"0,17419787","0,053445158","0,158860943","0,200903786"
Antisthenes,"0,00241367","0,06155877","0,01254035","0,10534667","0,10184426","0,51173085","0,40606146",0,"0,06613599","0,00000001","0,78724329","0,53754752","0,84529478","0,23671007","0,40677269","0,87535341","0,00443528","0,29455942","0,33398776","0,98747762","0,47285623","0,49451836","0,5272512","0,17637498","0,18343577","0,80914826","0,25524139","0,00174157","0,006309964","0,069762142","0,651374987"
Anon. Iambl.,"0,01800677","0,07849122","0,0985982","0,0799887","0,05544296","0,63809115","0,68888952","0,08520756","0,01638212","0,75715946","0,29091156","0,62964991","0,45429406","0,56855721","0,04047652","0,190776","0,70386084","0,61349775","0,00000476","0,49947372","0,7294116","0,74201394","0,63299556","0,51472738","0,521514","0,9073477","0,29908009","0,16667106","0,19432599","0,67085031","0,82763464"
Andocides,"0,05222489","0,20635796","0,16164757","0,0007301","0,00011693","0,14860684","0,21889037","0,00003353","0,05784176","0,00022535","0,03142908","0,92153662","0,00886406","0,72539464","0,015096","0,11054057","0,24308839","0,12088128","0,15281635","0,03809304","0,28811802","0,31205908","0,14253578","0,22053541","0,20172053","0,72078582","0,00000002","0,27996125","0,464657937","0,191863395","0,503717465"
Isokrates,"0,03013101","0,00000225","0,00663844",0,0,0,"0,47750661","0,00000014","0,90515314",0,"0,0000012",0,"0,54389129","0,22112466",0,0,0,0,"0,0050778","0,00011323","0,00000446","0,12025684","0,59155329","0,08582534","0,3621793","0,00295314","0,27612071","0,06733825","4,94E-006","1,44E-007","0,084226188"
Xenophon,"0,04185525","0,00005132","0,00000298","0,13748416","0,35486871","0,00004908","0,00008145","0,59655199","0,00937813","0,0290031","0,00000688","0,0000036","0,27955736","0,01032714","0,24549814","0,00014146","0,83514357","0,00000001","0,01856114","0,64077316","0,65608832","0,00119684","0,25876547","0,01502","0,0045468","0,23925903",0,0,"5,15E-043","4,92E-006","1,12E-006"
Drama (sum),"0,64471221","0,1933618","0,38142785","0,25191691","0,03767273",0,"0,44151745",0,"0,05959226",0,"0,0000028","0,00041437","0,00000006","0,00080325",0,0,"0,00148614","0,00122091","0,00000002","0,00000001","0,3985134","0,00001694","0,00001756","0,00085304","0,00038969","0,091142",0,0,,,
Historie,"0,19633472","0,03987067","0,00000061",0,1,1,1,"0,00089663","0,23942196","0,00000457",0,"0,01266807","0,00007338",0,"0,01564387","0,91406913","0,00003168","0,00000003","0,10408723","0,00000881","0,0198553","0,00031391","0,01511985","0,00000009",,,,,,,
Presocratics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isoc + Xenophon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
